Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
Hematology Oncology Associates of CNY,http://www.hoacny.com,5008 Brittonfield Pkwy,East Syracuse,New York,NY,13057,315-472-7504,Oncology,Maryann Roefaro,,,Private,Independent,,,,,,
Hemophilia of Georgia,http://www.hog.org,"8800 Roswell Road, Suite 170",Atlanta,Georgia,GA,30350,770-518-8272 ,"Hemophilia, von Willebrand disease, Bleeding Disorders",Tom Hoover,,,Private,Independent,"Delivery, Counseling and education, ",,,,,
Henry Ford Specialty Pharmacy,https://www.pharmacyadvantagerx.com,2799 W. Grand Blvd.,Detroit,Michigan,MI,48202,313-916-1666,"Crohn's Disease, Psoriasis, Rheumatoid arthritis, Psoiasis, Oncology, Growth Hormone, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Neurology, Transplantation",James Kalus,,,Subsidiary,Henry Ford Health System,"Delivery, Financial assistance programs, Clinical support and education, Refill reminder, Prior Authorization",,,,,
Heritage Biologics,,,,,,,,,,,,,,,,,,Hemlimbra,
Herndon Pharmacy,,,,,,,,,,,,,,,,,,Hemlimbra,
Hillcrest Pharmacy,http://hillcrestpharmacy.com/,120 University Ave ,San Diego,California,CA,92104,619-260-1010,"Fertility, HIV, Oncology, Diabetes, Hepatitis",Susan Baeza,,URAC,Private,Independent,"Counseling and education, Delivery and refills, Chronic Disease Management, Insurance consultations",Prior authorization process,,"Vista, CA",,
Home Care Services,https://www.cincinnatichildrens.org/service/h/home-care/services/pharmacy,3333 Burnet Avenue,Cincinnati,Ohio,OH,45229,513-636-4200,"IVIG, Growth hormone, Pain management, Oncology, RSV, Osteoporosis, Transplantation, Hemophilia",Mark Thomas,,,Subsidiary,Cincinnati Children's,,"Delivery, Counseling and education ",,,,
Hometech Advanced Therapies,http://hometechadvanced.com/,505 Elmwood Avenue,Sharon Hill,Pennsylvania,PA,19079,855-494-3121,"IVIG, Hemophilia, Hepatitis, Multiple Sclerosis, HIV, Rheumatoid Arthritis, Crohn's Disease, PAH, Dermatology, Growth hormone, Pain management",Jennifer Walden,,"ACHC, URAC",Private,Independent,"365/24/7 Access, Dispense and Delivery, Case Management Coordination, Reimbursement Management","Establish clinical protocols, Monitoring utilization compliance and outcomes, Financial assistance","Customized data reporting, inventory management and clinical protocols to support manufacturers programs and Hub services",,,
Howard Pharmacy,http://www.howardrx.com/,"8900 Columbia 100 Parkway, Suite H",Columbia,Maryland,MD,21045,410-740-1600,"Rheumatoid arthritis, Hepatitis C, Oncology, HIV",,,,Private,Independent,"Counseling and education, Free delivery",Prior authorization,,,,
HPC Specialty Pharmacy,http://hpcspecialtypharmacy.com,"63 South Royal St, Suite 710",Mobile,Alabama,AL,36602,800-757-9192,"Crohn's Disease, Hemophilia, Hepatitis C, Immunology, Multiple Sclerosis",Todd Vereen,,"URAC, ACHC",Private,Independent,"Clinical support and education, Medication management, Financial assistance","Clinical education and training, Formulary management, MTM, Reimbursement",Patient assistance programs,,Hemlimbra,
Humana Specialty Pharmacy,https://www.rightsourcerx.com,111 Merchant Street,Springdale,Ohio,OH,45246,800-486-2668,"Oncology, HIV, Multiple Sclerosis, Rheumatoid Arthritis, Hemophilia, Psoriasis, Crohn's Disease, Immunology",Adam Hanauer,,,Subsidiary,Humana,"Education and counseling, Financial assistance",,,,"Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Nexavar, Iclusig, Letairis, Humira, Hemlimbra",
Hy-Vee Pharmacy Solutions ,http://www.hvrxsolutions.com,"10004 South 152nd Street, Suite C",Omaha,Nebraska,NE,68138,877-794-9833,"Anemia, Asthma, Bleeding disorders, Crohn's Disease, Cystic Fibrosis, Enzyme deficiencies, Fertility, Growth Hormone, Hemophilia, Hepatitis, HIV, IVIG, Multiple Sclerosis, Oncology, Osteoarthritis, Psoriasis, Psoriatic arthritis, Rheumatoid arthritis, RSV, Transplantation, Urology",Amy Adams,,"URAC, ACHC",Subsidiary,Hy-Vee/Amber Pharmacy,"Adherence checks, 24/7 support and delivery, Financial assistance programs","DURs, Coordination of Benefits, Information Reporting","Prior Authorizations, Limited Distribution medications",,,
Illinois Cancer Care,http://illinoiscancercare.com,8940 N Wood Sage Rd,Peoria,Illinois,IL,61615,309-243-3000,Oncology,Jason Harlowe ,,,Private,Independent,,,,,,
Indian Head Pharmacy,https://carepharmacies.com/blog/location/indian-head-pharmacy/,4115 Indian Head Hwy,Indian Health,Maryland,MD,20640,301-684-2580,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",James Chen,,,Member,CARE Pharmacies,Counseling and education,,,,,
Infiniti Pharmacy,http://www.infinitipharmacy.com/,1338 North Federal Highway,Pompano Beach,Florida,FL,33062,800-995-7615,"Hepatitis C, IBD, HIV, Multiple Sclerosis, Oncology, Psoriasis, Rheumatoid arthritis",Deepak Ranade,,"URAC, ACHC",Private,Independent,"Benefit verification, Financial assistance, Counseling and education, 24x7 pharmacist, Delivery and refills",Disease state management,Manufacturer Patient Assistance Program,,,
Infinity Care Solutions,https://www.icsrx.com/,"1204 SE 28th Street, Suite 2",Bentonville,Arkansas,AR,72712,479-250-1443,"Dermatology, Gastroenterology, Hepatitis C, HIV, Hypercholesterolemia, Rheumatoid Arthritis",Jonathan Gintonio,,"URAC, PCAB",Private,Independent,"Insurance coverage assistance, 24x7 support, Counseling and education, Medication therapy management",,,,,
InfuScience,http://infuscience.com ,"1225 Tri-State Parkway, Suite 510",Gurnee,Illinois,IL,60031,847-855-6910,"Gastroenterology, Oncology, Multiple Sclerosis, Transplantation, Hemophilia, Immunology",Paul Wettengel,,"URAC, ACHC",Subsidiary,BioScrip,,,,"Savannah, GA; Eagan, MN; Omaha, NE; Mt. Pleasant, SC; Chantilly, VA",,
Intermountain Specialty Pharmacy,https://intermountainhealthcare.org/services/pharmacy/specialty-pharmacy/,7268 Bingham Jct Blvd,Midvale,Utah,UT,84047,801-442-4600,"Asthma, Bleeding Disorders, Ankylosing spondylitis, Crohn's disease, Cystic fibrosis, Chronic iron overload, Chronic uticaria, Growth Hormone, Hepatitis, Hereditary angiodema, Hidradenitis suppurativa, HIV, Multiple sclerosis, Oncology, Osteoarthritis, Osteoporosis, Psoriasis, Psoriatic arthritis, PAH, Rheumatoid arthritis, RSV, Ulcerative colitis",Marc Holley,,URAC,Subsidiary,Intermountain Healthcare,"Counseling and education, 24x7 pharmacist, Refills and delivery, Financial assistance",Prior authorization assistance,,,,
InTouch Pharmacy,,,,,,,,,,,,,,,,,,Hemlimbra,
Inverness Apothecary Trinity,https://www.invtrinity.com/,24333 Gordon Terry Parkway Suite B,Trinity,Alabama,AL,35673,855-708-7464,Hemophilia,Christopher Simpson,,"URAC, ACHC",Private,Independent,,,,,,
Inverness Lone Star Pharmacy,http://www.invrx.com/,"7004 Champion Blvd, S. 100",Birmingham,Alabama,AL,35242,205-995-0505,"Fertility, Hemophilia, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation",Mike Sands,,URAC,Private,Independent,"DesignRx, Prior Authorizations, Financial assistance",,,,,
IV Care Options,http://www.ivcareoptions.com/,151 College Street,Macon,Georgia,GA,31201,800-277-7302,"IVIG, Pain management",Freddie Dwozan,,URAC,Private,Independent,,,,,,
IV Solutions,,8610 Washington Blvd #110,Jessup,Maryland,MD,20794,301-483-0795,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Abtin Youssefi ,,,Member,CARE Pharmacies,Counseling and education,,,,,
IV Solutions,http://www.ivsolutions.org/,3384 Motor Ave,Los Angeles,California,CA,90034,888-336-8388,"Dermatology, Gastroenterology, Hematology, Oncology, Pain Management, Rheumatoid Arthritis, Infectious Disease, Bleeding Disorders, Transplantation",,,JCAHO,Private,Independent,"Counseling and education, Delivery, 24x7 support",,,,,
Jefferson Specialty Pharmacy,http://hospitals.jefferson.edu/departments-and-services/specialty-pharmacy.html,"919 Walnut Street, Suite 813",Philadelphia,Pennsylvania,PA,19107,215-955-8154,"Crohn's Disease, Psoriasis, Rheumatoid arthritis, Psoriatic Arthritis, Oncology, Growth Hormone, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Neurology, Transplantation",Christie DeLash,,,Subsidiary,Jefferson Health,"Counseling and education, Patient financial advocacy, Clinical 24x7 support, Delivery",,,,,
Johns Hopkins Specialty Pharmacy,http://www.hopkinsmedicine.org/patient_care/outpatient_pharmacy/specialty_pharmacy.html,1810 East Monument Street,Baltimore,Maryland,MD,21205,410-502 -5735,"Hepatitis C, Rheumatoid arthritis, Crohn's disease, Ulcerative colitis, Ankylosing spondylitis, Psoriasis, Psoriatic arthritis, Growth hormone ",Christine Ng,,URAC,Subsidiary,Johns Hopkins Health System,"Counseling and education, Insurance approval",,,,,
Joliet Hematology Oncology Associates,http://www.jolietoncology.com,2614 W Jefferson Street,Joliet,Illinois,IL,60435,815-725-1355,Oncology,Sarode K. Pundaleeka ,,,Private,Independent,,,,,,
Josefs Pharmacy LLC,http://www.josefspharmacy.com,2100 New Bern Ave,Raleigh,North Carolina,NC,27610,919-212-2555,"Crohn's Disease, HIV, Multiple Sclerosis, Osteoporosis, Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis",Finny Joseph,,URAC,Private,Independent,"Delivery, Refills, Counseling and education, Financial assistance",,Adherence programs,,,
KabaFusion,http://www.kabafusion.com,"17777 Center Court Drive, Suite 550 ",Cerritos,California,CA,90703,800-435-3020 ,"Immunology, Transplantation, Infusion",Sohail Masood,,"URAC, ACHC",Private,Independent,"Pharmacist and reimbursement support, Insurance verification, Prior Authorization",Patient education,,"Cerritos, CA; Edison, NJ; Dallas, TX; Chicago, IL; Shrewsbury, MA; Horsham, PA",,
Kaiser Permanente Specialty Pharmacy,http://www.kaiserpermanente.org,1 Kaiser Plaza,Oakland,California,CA,94612,510-271-6489,"Bleeding Disorders, Crohn's Disease, Cystic Fibrosis, Hepatitis, Growth Hormone, HIV, Fertility, Multiple Sclerosis, Oncology, Osteoporosis, PAH, Rheumatoid Arthritis, Ulcerative Colitis, Wilson's Disease",Victor Moye,,URAC,Subsidiary,Kaiser Foundation,,,REMs support,,"Orkambi, Kalydeco, Iclusig, Letairis",
Kerr Health Specialty Pharmacy,http://www.kerrhealth.com,"8431 Garvey Drive, Suite 121 ",Raleigh,North Carolina,NC,27616,866-443-1904,"Oncology, COPD, Multiple sclerosis, HIV, Rheumatoid arthritis, Transplantation, Behavioral health, Dermatology, Fertility",Mike Brown,,,Subsidiary,Walgreens,"24x7 clinical support, Delivery"," Insurance benefit verification, Prior authorization",,,,
Keystone Pharmacy,http://www.keystonerx.com,"4021 Cascade RD SE, Suite 50",Grand Rapids,Michigan,MI,49546,616-974-9792,"Fertility, Pain Management",,,PCAB,Private,Independent,,,,,,
King's Pharmacy,http://www.kingspharmacy.org,5 Hudson Street,New York,New York,NY,10013,212-791-3100,"Crohn's Disease, Fertility, Hemophilia, Hepatitis C, HIV, IVIG, Oncology, Rheumatoid Arthritis, Transplantation",Ron Del Gaudio,,"URAC, ACHC",Private,Independent,"Financial Assistance, delivery, Insurance Verification, 24/7 pharmacist, Prior authorization",,Patient Assistance Programs,"New York, NY; Brooklyn, NY",,
Kmart Specialty Pharmacy,https://pharmacy.kmart.com/newrx-speciality-pharmacy,3333 Beverly Road,Hoffman Estates,Illinois,IL,60179,815-215-8837,"Bleeding Disorders, Oncology, Crohn's disease, Cystic Fibrosis, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Osteoporosis, Renal Disease, Rheumatoid Arthritis, Transplantation",John Crupie,,,Subsidiary,Kmart,"Financial assistance help, 24x7 support",Prior authorization,,,Hemlimbra,
Kohll's Pharmacy and Homecare,http://www.kohlls.com,2923 Leavenworth Street,Omaha,Nebraska,NE,68105,402-342-6547,"Behavioral Health, Hepatitis C, HIV, Hypercholesterolemia, Multiple Sclerosis, Oncology, Osteoporosis, Psoriasis, Rheumatoid Arthritis",David Kohll,,,Private,Independent,"Insurance and co-pay verification, refill reminders, Delivery",Prior authorization,"Manufacturer co-pay cards, Patient assistance program, Manufacturer support enrollment","Lincoln, NE; Malvern, IA; Omaha, NE (4); Papillion, NE; ",,
Komoto Pharmacy,http://www.komotomedicalpharmacy.com/,2110 Truxtun Ave Ste 100,Bakersfield,California,CA,93301,661-327-7524,"Asthma, Diabetes, Hepatitis C, Enteral Nutrition, HRT, Infusion",Brian Komoto,,,Subsidiary,Komoto Healthcare,"Counseling and education, Refills",,,"Delano, CA",,
Kraupner Pharmacy,http://kraupnerpharmacy.com,457 Knickerbocker Ave.,Brooklyn,New York,NY,11237,718-821-1313,"Diabetes, Fertility",Andrew Yang,,,Private,Independent,"Delivery, DesignRx",,,,,
Kroger Specialty Pharmacy,http://www.axiumhealthcare.com,550 Technology Park,Lake Mary,Florida,FL,32746,407-865-7795,"Crohn's Disease, Cystic Fibrosis, Gaucher's Disease, Growth Hormone, Hemophilia, Bleeding Disorders, Hepatitis C, Hereditary Angioedema, HIV, Immunology, Multiple Sclerosis, Oncology, Psoriasis, Rheumatoid Arthritis, Transplantation",Tom Dervin,,,Subsidiary,Kroger,Insurance and copay assistance,,"Therapy specific clinical teams, Limited distribution drug access Disease state education, Outcomes management","Guaynabo, PR; Cleveland, TN; Garden Grove, CA; Irvine, CA; Lake Mary, FL; Los Angeles, CA; Harvey, LA; Orlando, FL; Vicksburg, MS","Orkambi, Kalydeco, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Iclusig, Sylatron, Intron A, Cayston, Humira",
Biofusion,http://www.biofusion.com,19110 Van Ness Ave. ,Torrance,California,CA,90501,866-202-9552 ,Immunology,James Markis,,,Subsidiary,Kroger,,,,,,
Langley Park Pharmacy,http://www.thenewave.com/go/langley-park-care-pharmacy,"7676 New Hampshire Avenue, Suite 104",Takoma Park,Maryland,MD,20912,301-445-6050,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Merlyn Crandon-Enyi,,,Member,CARE Pharmacies,Counseling and education,,,,,
Laurel Main Street Pharmacy,https://www.emkreative-project.com/,667 Main Street,Laurel,Maryland,MD,20707,301-317-3838,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Ali Thakkar,,,Member,CARE Pharmacies,Counseling and education,,,,,
LDI Specialty Pharmacy,http://www.ldirx.com,"701 Emerson Road, Suite 301 ",Creve Coeur,Missouri,MO,63141,866-516-4121 ,"HIV, Asthma, Oncology, Cystic Fibrosis, DVT, Gaucher's Disease, Growth Hormone, Hemophilia, Hepatitis C, Hunter's Syndrome, Fertility, Multiple Sclerosis, Osteoporosis, Psoriasis, Psoriatic arthritis, RSV, Rheumatoid arthritis, Transplantation",Deanna Clinard,,,Subsidiary,Diplomat,"Education and support, Follow-up and monitoring",Prior Authorization,Medication adherence assessment and support,,,
LegacyRx,http://www.legacyrxpharmacy.com,"6435 Hazeltine National Drive, Suite 140",Orlando,Florida,FL,32822,407-404-7113,"Dermatology, Pain management",,,,Private,Independent,Delivery,,,,,
LeMed Pharmacy,http://www.leroyrx.com,159 E Gun Hill Rd,Bronx,New York,NY,10467,718-231-4040,"Rheumatoid Arthritis, Oncology, Crohn's Disease, Diabetes, Hepatitis, HIV, Multiple Sclerosis, Osteoporosis, Psoriasis",Jung Soo Kim,,,Private,Independent,Co-pay assistance,,"Adherence, Prior Authorization",,,
Leo Jenkins Cancer Center Pharmacy,http://www.ecu.edu/cs-dhs/ecuphysicians,600 Moye Boulevard,Greenville,North Carolina,NC,27834,"252-744-2426 
",Oncology,Todd Jackson,,URAC,Subsidiary,East Carolina University,"Counseling and education, Monitoring drug therapy and interactions, Copay insurance",,,,,
Leroy Pharmacy,http://www.leroyrx.com/pharmacy-specialty,314 East 204th Street,Bronx,New York,NY,10467,718-882-5614,"Arthritis, Rheumatoid arthritis, Oncology, Crohn's Disease, Diabetes, Hepatitis, HIV, Multiple Sclerosis, Osteoporosis, Psoriasis",Rushabh Shah,,URAC,Private,Independent,,,,,,
Lifespan Pharmacy,http://www.lifespan.org/pharmacy/,167 Point Street,Providence,Rhode Island,RI,2903,401-444-3500,"Oncology, Multiple Sclerosis, Rheumatoid Arthritis, IBD, Hepatitis C",Christine Berard-Collins,,URAC,Subsidiary,LifeSpan,Refills and delivery,,,,,
Linden Care LLC,http://www.lindencare.com,123 Eileen Way,Syosset,New York,NY,11791,516-221-7600,Pain management,Marc Weiner,,URAC,Private,Independent,"Patient and financial assistance, Customized medication packaging, Prior authorization, Refills, Counseling, Education and compliance management, Pharmaceutical assistance programs",,"Product distribution and specialized handling, Data reporting, REMS support, Patient and physician education, Product launch and commercialization support",,,
Linson Pharmacy,http://www.linsonpharmacy.com/,3175 25th Street South,Fargo,North Dakota,ND,58103,701-293-6022,,Allison Hursman,,,Private,Independent,"MTM and counseling, Delivery",,,,,
Loma Linda University Medical Center,http://medical-center.lomalindahealth.org/our-services/pharmacy/medical-center,"11234 Anderson Street, Room 2301",Loma Linda,California,CA,92354,909-558-4500,"Crohn's Disease, Psoriasis, Rheumatoid arthritis, Psoriatic Arthritis, Oncology, Growth Hormone, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Neurology, Transplantation",Paul Norris,,,Subsidiary,Loma Linda University Medical Center,Counseling and education,,,,,
Long's Specialty Pharmacy,http://www.longsrx.com,1216 W Main St # D,Lexington,South Carolina,SC,29072,803-358-3030,"Oncology, Crohn's Disease, Cystic Fibrosis, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid arthritis, Ulcerative colitis",Kenneth Long,,"URAC, ACHC",Subsidiary,Long's Drugs,"Columbia, SC",,,,,
Lovelace Specialty Pharmacy,http://www.lovelace.com,500 Walter St NE,Albuquerque,New Mexico,NM,87102,505-727-4530,"Oncology, Crohn's Disease, Cystic Fibrosis, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid arthritis, Ulcerative colitis",Brad Trom,,,Subsidiary,Lovelace Health System,"Delivery, Pharmacist 24/7",,,"Albuquerque, NM (9); Rio Bravo, NM; Rio Rancho, NM; Santa Fe, NM",,
LSU Health Baton Rouge MidCity Pharmacy,https://ololrmc.com/pages/all-care-and-services/lsu-health-baton-rouge/lsu-health-br-.aspx,1401 North Foster Drive,Baton Rouge,Louisiana,LA,70808,225-58-4853,"HIV, Hepatitis C, Bleeding Disorders",Pam Nogueira,,URAC,Subsidiary,LSU Health Baton Rouge,"Counseling and education, Medication therapy management",,,,,
Lumicera Health Services,https://www.lumicera.com/,"2601 West Beltline Highway, Suite 302",Madison,Wisconsin,WI,53713,855-847-3553,"Growth Hormone, Hepatitis C, Multiple Sclerosis, Rheumatoid Arthritis, Bleeding Disorders, Immunology, Crohn's Disease, Renal Disease, Cystic Fibrosis, Enzyme Deficiencies, Hemophilia, HIV, Fertility, Oncology, Osteoarthritis, Osteoporosis, Psoriasis, Psoriatic Arthritis, PAH, Transplantation",Tony Wood,,URAC,Navitus Health Services,Independent,"Delivery, financial assistance","Integrated patient care management, Consultation, Administrative support","Injection training, Adherence program, Targeted pilot programs, Product launch support, Clinical trial assistance, Reporting capabilities, Customized packaging programs",,,
Magellan Rx Pharmacy,https://www1.magellanrx.com/magellan-rx,"6870 Shadowridge Dr, Ste 111",Orlando,Florida,FL,32812,866-544-2673,"Bleeding Disorders, Oncology, Crohn's Disease, Cystic Fibrosis, Anemia, Growth Hormone, Hemophilia, Hepatitis, HIV, Gaucher Disease, Immunology, Fertility, Multiple Sclerosis, Neutropenia, Osteoarthritis, Osteoporosis, Parkinson's, PAH, RSV",Eddie Wong,,URAC,Subsidiary,Magellan Health,,Prior authorizations,,,"Tarceva, REVLIMID, Humira, Hemlimbra",
Main Street Specialty Pharmacy,,881 Main Street,Sayreville,New Jersey,NJ,08872,732-475-3311,"Hepatitis C, HIV, Multiple Sclerosis, Oncology, Psteoporosis, Psoriasis, Rheumatoid Arthritis",Anup Borawala,,,Private,Independent,,,,,,
Mandell's Clinical Pharmacy,http://www.mandelsclinicalpharmacy.com ,7 Cedar Grove Lane #24,Somerset,New Jersey,NJ,8873,732-907-6780 ,Fertility,Terry Malanda,,"URAC, ACHC",Private,Independent,"Counseling and education, Financial assistance, Pharmacist 24/7",,,,,
Marshfield Clinic Specialty Pharmacy,https://www.marshfieldclinic.org/services/pharmacy,603 South Central Avenue,Marshfield,Wisconsin,WI,54449,715 389-5900,"Arthritis, Bleeding Disorders, Oncology, Crohn's Disease, Cystic Fibrosis, Growth Hormone, Hemophilia, Multiple Sclerosis, Transplantation, Osteoporosis, Psoriasis, PAH, Hepatitis",Sarah Rall,,URAC,Subsidiary,Marshfield Clinic,"Insurance benefit coordination, Payment assistance, Medication adherence, Education and support",,,,,
Mast Drug Specialty Pharmacy,http://www.mastdrug.com,"307 W Boulevard St, Apt A",Williamston,North Carolina,NC,27892,252-792-1014 ,"Hepatitis C, Multiple Sclerosis, Rheumatoid Arthritis",Bill Mast,,,Private,Independent,"Delivery, Counseling and education",,,,,
Maxor Specialty,http://www.maxor.com,216 S. Polk Street,Amarillo,Texas,TX,79101,866-629-6779,"Crohn's Disease, Hepatitis C, Osteoarthritis, Osteoporosis, Rheumatoid Arthritis, Dermatology, Ankylosing Spondylitis, Oncology, Enzyme Deficiencies, Growth Hormone, Hemophilia, HIV, Fertility, Multiple Sclerosis, Transplantation, Osteoarthritis, Psoriasis, RSV",Eric Wan,,ACHC,Subsidiary,Maxor,"Counseling and education, Refills and delivery, Insurance billing and assistance", monitoring,Customized data reporting,,"Orkambi, Kalydeco, Cayston, Hemlimbra",
Mayo Clinic Specialty Pharmacy,http://www.mayoclinic.org,200 First St. S.W.,Rochester,Minnesota,MN,55905,507-284-2511,"Hemophilia, Growth hormone, Hepatitis, Immunology, IBD, Oncology, Pulmonology, Transplantation, Osteoporosis, Psoriasis, Rheumatoid Arthritis",Andrea Swanson,,ACHC,Subsidiary,Mayo Clinic,Coordination of billing and claims,,,,,
MDR Pharmaceutical Care,http://mdrusa.com,17071 Ventura Boulevard,Encino,California,CA,91316,800-515-3784,Fertility,Kevin Carden,,,Private,Independent,"Financing, Counseling and education",,,"Los Angeles, CA",,
Med Center Specialty Pharmacy,http://medcenterspecialtypharmacy.com/,3100 MacCorkle Avenue S.E.,Charleston,West Virginia,WV,25304,866-888-1825,"Fertility, Hepatitis, Crohn's Disease, HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Psoriasis, Anemia, Behavioral Health, Hemophilia, Bleeding Disorders",Nicholas Karalis,,"URAC, ACHC",Subsidiary,Elwyn Specialty Group,"Disease therapy management, Delivery, Financial assistance, Prior authorization",,,,,
MedCart Specialty Pharmacy,http://www.medcartpharmacy.com,32131 Industrial Road,Livonia,Michigan,MI,48150,877-770-4633,"Crohn's Disease, HIV, Hepatitis, Fertility, Growth Hormone, Multiple Sclerosis, Oncology, Psoriasis, Rheumatoid Arthritis",Eddie Abueida,,URAC,Subsidiary,Albertson's,"Delivery, 24/7 customer service, Counseling and education","Compliance and medication adherence, Billing services","Customized reporting, Inventory management support",,,
Medex Biocare Pharmacy,http://www.medexbiocare.com,"8024 Stage Hills Boulevard, Suite 107",Memphis,Tennessee,TN,38133,901-380-5899,"Hemophilia, von Willebrand Disease, Bleeding Disorders",Terry Peck,,,Subsidiary,Matrix Health Group,"Reimbursement Specialists, 24/7 pharmacists, Insurance assistance, Education materials",,Patient Assistance Programs,,,
"MedExpress Pharmacy, Ltd.",http://MedExpressPharmacy.com,P.O. Box 1666,Salisbury,North Carolina,NC,28145,800-808-8060,"HIV, Hepatitis C, Behavioral Health, Oncology, Rheumatoid Arthritis, Transplantation",Jerry Purcell,,,Subsidiary,Avita Pharmacy,"Copay assistance, Refill reminders, 24/7 pharmacist",Prior authorization,Limited distribution drugs,,,
Medical Center Pharmacy,http://mcprx.com,"610 Gateway Center Way, Suite G",San Diego,California,CA,92102,888-615-5330,"Transplantation, Growth Hormone, Behavioral Health, Hepatitis, Oncology, HIV, Multiple Sclerosis, Rheumatoid Arthritis, HRT",George Awad,,,Private,Independent,"Delivery, Prior Authorization",,,"Chula Vista, CA (3); San Diego, CA (7)",,
MedicaScripts Specialty Pharmacy,http://medicascripts.com/,15511 N. Florida Ave.,Tampa,Florida,FL,33613,813-968-0520,"Crohn's Disease, Hepatitis, Hepatitis C, Dermatology, HIV, Hypercholesterolemia, Neurology, Oncology, Ophthalmology, Orthopedic Surgery, Osteoarthritis, Osteoporosis, Pulmonology, Rheumatoid Arthritis, Urology, Transplantation",Guy English,,,Private,Independent,"Counseling and education, Delivery, 24x7 clinical support","Prior Authorization, Copay Reimbursement, Compliance reporting",,,,
MedicoRx Specialty Pharmacy,http://www.medicorx.com,7039 Valjean Ave.,Van Nuys,California,CA,91406,818-390-9696 ,"Oncology, IVIG, Rheumatoid Arthritis, Multiple Sclerosis, Hepatitis C, Crohn's Disease, Osteoporosis, Psoriasis, HIV",Vladimir Lenchitsky,,"URAC, ACHC",Private,Independent,"Adherence/Compliance, Clinical and Education materials, 24/7 clinical pharmacist","Data collection and reporting, Prior Authorization, Reporting and analysis","Data packages, Manufacturer program assistance, REMS, Clinical program participation",,,
Medilink RxCare,http://www.medilinkrxcare.com/,"Eagle Plaza, 709 County Rte 561",Voorhees Township,New Jersey,NJ,08043,856-566-4300,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Gus Tzaferos,,,Member,CARE Pharmacies,Counseling and education,,,,,
"MedPro Rx, Inc.",http://www.medprorx.com,140 Northway Court,Raleigh,North Carolina,NC,27615,888-571-3100,Immunology,,,,Subsidiary,Diplomat,"Counseling and education, Refills, Financial assistance, Benefit coordination",,,,,
MedQuick Pharmacy,http://www.medquickrx.com/,546 West Las Tunas Drive,San Gabriel,California,CA,91776,626-281-2015,"HIV, Hepatitis, Multiple Sclerosis, Rheumatoid Arthritis, Fibromy algia, Osteoporosis, Oncology, CODP, ITP, Hemophilia, Behavioral Health",Poch Blanco,,URAC,Private,Independent,"Counseling and education, Refills, Financial assistance, Benefit coordination","Patient centered management, Clinical counseling","HUB Program management, Data management and reporting, Patient assistance programs",,,
Medwins Specialty Pharmacy,http://medwinsspecialtypharmacy.com/,"301 East Genesee Avenue, Suite 100",Saginaw,Michigan,MI,48607,989-755-7998,"HIV, Hepatitis C",Khaja Mohammed,,URAC,Private,Independent,"Counseling and education, refills, transfers",,,,,
Meijer Specialty Pharmacy (Aureus Pharmacy),http://aureushealthservices.com/,305 Merchant Lane,Pittsburgh,Pennsylvania,PA,15205,844-428 7387,"HCV, HIV, Crohn's Disease, Rheumatoid Arthritis, Psoriasis, Osteoarthritis, Multiple Sclerosis, Transplantation",Paul Valenti,,"URAC, ACHC",Subsidiary,Meijer,"Referral and Enrollment, Benefits and Reimbursement",,"Custom-packed pill boxes, Reporting, Adherence intervention, Compliance, Prior Authorization",,,
MemorialCare Health System Specialty Pharmacy,https://www.memorialcare.org/services/pharmacy,2801 Atlantic Avenue,Long Beach,California,CA,90806,562-933-2000,"Crohn's Disease, Psoriasis, Rheumatoid arthritis, Psoriatic Arthritis, Oncology, Growth Hormone, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Neurology, Transplantation",Brian Stuckman,,,Subsidiary,MemorialCare Health System,,,,,,
